NUMERO_BOLETIM;DATAHORA_BOLETIM;DATA_INCLUSAO;TIPO_ACIDENTE;DESC_TIPO_ACIDENTE;COD_TEMPO;DESC_TEMPO;COD_PAVIMENTO;PAVIMENTO;COD_REGIONAL;DESC_REGIONAL;ORIGEM_BOLETIM;LOCAL_SINALIZADO;VELOCIDADE_PERMITIDA;COORDENADA_X;COORDENADA_Y;HORA_INFORMADA;INDICADOR_FATALIDADE;VALOR_UPS;DESCRIÇÃO_UPS;DATA_ALTERACAO_SMSA;VALOR_UPS_ANTIGA;DESCRIÇÃO_UPS_ANTIGA
2021-006962107-001;10/02/202112:16;10/02/202112:18;H99002;OUTROSCOMVITIMA;1;BOM;1;ASFALTO;0;;POLICIAMILITAR;NÃO;0;0000000000.00;0000000000.00;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-006964119-001;10/02/202111:35;10/02/202112:35;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;0;;POLICIAMILITAR;NÃO;0;0000000000.00;0000000000.00;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-006965035-001;10/02/202110:40;10/02/202112:42;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;22;NOROESTE;POLICIAMILITAR;NÃO;0;0000607604.95;0007797794.61;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-006974469-001;10/02/202112:55;10/02/202113:51;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;0;;POLICIAMILITAR;NÃO;60;0000000000.00;0000000000.00;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-006980741-001;10/02/202113:05;10/02/202114:22;H08002;CHOQUEMECANICOCOMVITIMA;1;BOM;1;ASFALTO;18;BARREIRO;POLICIAMILITAR;NÃO;0;0000603148.05;0007787667.85;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-006983942-001;11/04/202117:11;13/04/202110:32;H09002;COLISAODEVEICULOSCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;23;NORTE;POLICIACIVIL;NÃO;0;0000613088.22;0007805686.65;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-006998139-001;10/01/202112:00;10/02/202115:24;H02002;CAPOTAMENTO/TOMBAMENTOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;21;NORDESTE;POLICIACIVIL;NÃO;0;0000616762.56;0007808437.91;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007005597-002;09/02/202115:30;11/02/202113:35;H01002;ABALROAMENTOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;20;LESTE;POLICIACIVIL;NÃO;0;0000611063.37;0007797922.47;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007015790-001;10/02/202116:36;10/02/202116:39;H06002;ATROPELAMENTODEPESSOASEMVITIMAFATAL;0;NAOINFORMADO;0;NAOINFORMADO;21;NORDESTE;POLICIAMILITAR;NÃO;0;0000617098.60;0007804943.85;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007018239-001;10/02/202116:14;10/02/202116:51;H08002;CHOQUEMECANICOCOMVITIMA;1;BOM;1;ASFALTO;19;CENTRO-SUL;POLICIAMILITAR;NÃO;0;0000609462.19;0007797115.01;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007028353-001;19/01/202109:00;10/02/202117:34;H08002;CHOQUEMECANICOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;23;NORTE;POLICIAMILITAR;NÃO;0;0000612047.65;0007803435.28;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007041261-001;10/02/202118:34;10/02/202118:40;H09002;COLISAODEVEICULOSCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;22;NOROESTE;POLICIAMILITAR;NÃO;0;0000609453.48;0007797759.71;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007047020-001;10/02/202118:44;10/02/202119:11;H01002;ABALROAMENTOCOMVITIMA;1;BOM;1;ASFALTO;19;CENTRO-SUL;POLICIAMILITAR;NÃO;0;0000609318.32;0007793602.03;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007073408-001;10/02/202121:35;10/02/202121:38;H09002;COLISAODEVEICULOSCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;22;NOROESTE;POLICIAMILITAR;NÃO;0;0000605856.29;0007796218.01;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007079775-001;10/02/202121:00;10/02/202122:14;H09002;COLISAODEVEICULOSCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;25;PAMPULHA;POLICIAMILITAR;NÃO;0;0000602856.73;0007803207.58;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007082017-001;10/02/202121:21;10/02/202122:28;H02002;CAPOTAMENTO/TOMBAMENTOCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;23;NORTE;POLICIAMILITAR;NÃO;0;0000612520.68;0007806050.37;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007093493-001;10/02/202123:07;10/02/202123:41;H07002;ATROPELAMENTODEANIMALCOMVITIMA;1;BOM;1;ASFALTO;23;NORTE;POLICIAMILITAR;NÃO;0;0000611617.63;0007804633.82;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
2021-007102414-001;11/02/202100:40;11/02/202101:54;H09002;COLISAODEVEICULOSCOMVITIMA;0;NAOINFORMADO;0;NAOINFORMADO;22;NOROESTE;POLICIAMILITAR;NÃO;0;0000608123.88;0007798070.74;SIM;NÃO;0;NÃOINFORMADO;00/00/0000;0;NÃOINFORMADO
